ID,Dist,Model,Parameter,Post_median,Post_mode,Post_SE,CI95_Low,CI95_Up,Majority_Opt
Cca1,TruncPoisson,FluctCorrDir,b,-0.106,-0.109,0.0185,-0.139,-0.0683,TRUE
Cca1,TruncPoisson,FluctCorrDir,sigma_b,0.0372,0.00403,0.0324,3.06e-5,0.101,TRUE
Cca1,TruncPoisson,FluctCorrDir,a,2.04,2.05,0.0238,1.99,2.09,TRUE
Cca1,TruncPoisson,FluctCorrDir,sigma_a,0.0546,0.0467,0.026,0.00561,0.107,TRUE
Cca1,TruncPoisson,FluctCorrDir,phi,-0.327,-0.456,0.4,-0.946,0.486,TRUE
Cca1,TruncPoisson,FluctCorrDir,sigma_ind,0.0128,0.00456,0.0113,6.19e-6,0.0373,TRUE
Cca1,TruncPoisson,FluctCorrDir,beta,-0.105,-0.108,0.0148,-0.132,-0.0748,TRUE
Cca1,TruncPoisson,FluctCorrDir,sigma_beta,0.033,0.00394,0.0232,3.07e-5,0.0767,TRUE
Cca1,TruncPoisson,FluctCorrOpt,theta,-4.82,-3.64,3.85,-13.5,-1.56,TRUE
Cca1,TruncPoisson,FluctCorrOpt,theta_unstd,-31.2,-23.6,25,-87.4,-10.1,TRUE
Cca1,TruncPoisson,FluctCorrOpt,sigma_theta,0.406,0.354,0.32,2.2e-4,1.03,TRUE
Cca1,TruncPoisson,FluctCorrOpt,sigma_theta_unstd,2.63,2.3,2.07,0.00142,6.68,TRUE
Cca1,TruncPoisson,FluctCorrOpt,log_Wmax,2.3,2.21,0.217,2.13,2.81,TRUE
Cca1,TruncPoisson,FluctCorrOpt,sigma_log_Wmax,0.0372,0.0355,0.0281,5.76e-5,0.0918,TRUE
Cca1,TruncPoisson,FluctCorrOpt,omega,6.88,6.02,1.96,4.42,11.3,TRUE
Cca1,TruncPoisson,FluctCorrOpt,phi,-0.504,-0.817,0.441,-0.99,0.451,TRUE
Cca1,TruncPoisson,FluctCorrOpt,sigma_ind,0.0131,0.00696,0.0113,3.95e-9,0.0371,TRUE
Cca1,TruncPoisson,FluctCorrOpt,beta,-0.1,-0.0964,0.0129,-0.126,-0.0767,TRUE
Cca1,TruncPoisson,FluctCorrOpt,sigma_beta,0.0172,0.0155,0.00863,0.00371,0.0345,TRUE
Cca2,ZIPoisson,FluctCorrDir,b,-0.0866,-0.0961,0.029,-0.146,-0.0344,FALSE
Cca2,ZIPoisson,FluctCorrDir,sigma_b,0.0798,0.0795,0.0457,0.0192,0.177,FALSE
Cca2,ZIPoisson,FluctCorrDir,a,2.08,2.07,0.054,1.96,2.17,FALSE
Cca2,ZIPoisson,FluctCorrDir,sigma_a,0.154,0.136,0.0487,0.0837,0.258,FALSE
Cca2,ZIPoisson,FluctCorrDir,phi,-0.356,-0.488,0.379,-0.956,0.396,FALSE
